,,,,Blind,,,,,,,,,,,,,,,,,,,,Sighted,,,,,,,,,,,,,,,,,,,,Blind,,Sighted
TrialNum,TrialType,Object,,NFB_CB_26,NFB_CB_14,NFB_CB_17,NFB_CB_12,NFB_CB_23,NFB_CB_09,NFB_CB_07,NFB_CB_06,NFB_CB_03,NFB_CB_22,NFB_CB_02,NFB_CB_15,NFB_CB_16,NFB_CB_18,NFB_CB_13,NFB_CB_11,NFB_CB_10,NFB_CB_24,NFB_CB_08,NFB_CB_04,NFB_S_26,NFB_S_12,NFB_S_14,NFB18_S_07,NFB18_S_09,NFB18_S_17,NFB18_S_03,NFB18_S_23,NFB_S_11,NFB_S_02,NFB_S_16,NFB_S_10,NFB_S_15,NFB_S_18,NFB18_S_04,NFB18_S_08,NFB_S_22,NFB_S_13,NFB_S_24,,B_M,B_SD,S_M
1,color - natural kind,Atto,"You come across a Zorka man who is collecting some kind of liquid from a plant. The liquid is blue and frothy, and it lets out a hiss as it pours out. He lets you taste some of it, and it is sweet. He says that this liquid is called Atto. Zorka people like to drink Atto in the morning. How likely is it that the next time you come across more Atto, it is also blue? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",5,5,7,6,7,6,6,7,6,7,7,5,7,7,6,5,6,6,6,7,7,7,6,5,7,7,6,5,3,5,5,7,4,7,6,7,7,7,7,,6.2,0.767771896,6.052631579
2,color - natural kind,Onz,"As you're walking around town, you notice a Zorka child who is eating an unfamiliar plant. It is round, orange, and crunchy in texture. He says that this plant is called an Onz. He says that he used to not like the Onz, but now it's his favorite thing to eat. How likely is it that the next time you come across another Onz, it is also orange? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",6,5,7,6,7,6,5,5,7,7,7,4,7,3,5,7,7,5,6,5,6,6,6,5,6,6,6,2,6,7,6,4,5,7,7,5,6,6,4,,5.85,1.182103388,5.578947368
3,color - natural kind,Stime," As you're exploring a lake, you notice a Zorka scientist who is studying a dense, smooth, and yellow algae that is covering a rock.  The scientist tells you that this algae is called Stime. She is trying to find an antidote, as Stime is slightly poisonous. How likely is it that the next time you come across more Stime, it is also yellow? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",6,6,6,5,7,5,4,7,7,7,7,6,7,4,6,5,7,6,6,7,5,6,5,6,7,7,6,7,6,6,3,4,4,5,6,5,5,5,4,,6.05,0.998683344,5.368421053
4,color - natural kind,Enly,"You tag alongside a group of Zorka miners into a cave. There you notice a miner excavating a green gem that is spiky and the size of a hand. It appears to be vibrating in place. The miners tell you that this gem is called an Enly, and that Enlies are used as an energy source by the Zorka people. How likely is it that the next time you come across another Enly, it is also green? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",5,4,7,1,7,7,5,1,5,3,6,6,7,7,3,4,7,5,6,5,6,6,7,5,5,6,6,4,7,5,6,5,7,7,5,5,7,7,7,,5.05,1.904979624,5.947368421
5,color - natural kind,Blairo," While taking a morning stroll, you come across a Zorka woman who is prying a strange fruit off a tree. The fruit is shaped like a fan, red, and has a hard skin. She tells you that this fruit is called a Blairo, and that she is making a Blairo pie to enter into a cooking competition. How likely is it that the next time you come across another Blairo, it is also red? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",6,4,6,5,3,5,4,1,7,3,7,7,7,7,6,7,7,6,6,7,5,6,6,6,6,7,5,6,4,6,4,4,4,7,6,5,6,6,4,,5.55,1.731290969,5.421052632
6,color - manmade (functional),Bewt," You notice a Zorka teenager buying food with a square coin. She lets you examine it. It is very cold to the touch and red.  She explains that this coin is called a Bewt, and that Bewt coins are the main currency used by the Zorka people.  How likely is it that the next time you come across another Bewt, it is also red? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",6,6,7,7,5,7,7,7,7,7,7,6,3,7,7,6,6,2,7,7,7,7,5,6,7,7,4,7,7,6,7,5,6,7,7,7,7,7,4,,6.2,1.399247918,6.315789474
7,color - manmade (functional),Arn," You encounter some Zorka workers at a construction site. They are making the walls of a building using a clear, thick, and malleable substance. They tell you that this substance is called Arn. Arn walls are currently very trendy in Zorka houses. How likely is it that the next time you come across more Arn, it is also clear? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",7,4,7,6,6,7,6,7,6,7,7,7,7,4,6,7,4,5,6,5,5,5,4,4,6,3,3,7,4,6,6,4,5,7,5,6,6,6,4,,6.05,1.099042646,5.052631579
8,color - manmade (functional),Topee," You come across a Zorka government official who is examining a symbol in the middle of the road. It is hexagonal, green, and the size of a foot.  He tells you that this symbol is called a Topee, and that it means 'look up!'. He is conducting a routine check-up to make sure it is still in place. How likely is it that the next time you come across another Topee, it is also green? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",7,7,7,6,7,7,2,7,3,7,7,3,7,5,7,2,7,7,7,7,7,7,6,7,7,6,7,7,5,6,6,5,7,6,7,6,7,7,5,,5.95,1.848897253,6.368421053
9,color - manmade (functional),Bollop," While exploring the city, you notice a Zorka person dumping something into an oval container. The container is very big, orange, and appears to be emitting a low humming sound. He explains that this container is called a Bollop, and that by Zorka law, all toxic waste needs to be disposed in a Bollop. How likely is it that the next time you come across another Bollop, it is also orange? Rate on a scale of 1 to 7, where 1 is 'unlikely', 3 is 'somewhat likely', 5 is 'likely, and 7 is 'very likely'. ",7,5,7,6,7,7,4,1,6,3,6,3,7,7,6,5,6,7,6,5,4,5,6,5,6,6,4,7,4,3,3,3,6,7,6,7,2,2,5,,5.55,1.66938375,4.789473684
