Group,SubjID,Kind,Item,Explanation,Process,Depends,Just is ,Material,Social,Maker,Visibility,Convention,IDK,SUM,LENGTH
CB,NFB_CB_26,natural,apple,"because there are different kinds or species of apples, there's red delicious, golden delicious, granny smith, gala, and some others I can't think of, but there are many different kinds of apples and they all have different colors",0,1,0,0,0,0,0,0,0,1,38
CB,NFB_CB_14,natural,apple,depends on what they grow on,0,1,0,0,0,0,0,0,0,1,6
CB,NFB_CB_17,natural,apple,because God made them that way,0,0,0,0,0,1,0,0,0,1,6
CB,NFB_CB_12,natural,apple,different kinds of apples and it depends on when you pick them what color they are,0,1,0,0,0,0,0,0,0,1,16
CB,NFB_CB_23,natural,apple,well one's sour and one isn't I'm not sure why,0,0,0,0,0,0,0,0,1,1,10
CB,NFB_CB_09,natural,apple,"has to do with chlorophyll and ripening, if you've got chlorophyll in the plant it's gonna be green in the tree, it also has to do with ripening and exposure to the sun, if you have a hot summer and you have to let it rain during spring so it's green, if it's hot and sunny in summer tends exacerbate and to bring out the red more especially later in the season",1,0,0,1,0,0,0,0,0,2,72
CB,NFB_CB_07,natural,apple,"beacause of how they grow, biology",1,0,0,0,0,0,0,0,0,1,6
CB,NFB_CB_06,natural,apple,probably where they've been grown,0,1,0,0,0,0,0,0,0,1,5
CB,NFB_CB_03,natural,apple,"that's the way the lord made them, I don't know I'm sure there's a scientific reason too I just don't know it",0,0,0,0,0,1,0,0,0,1,22
CB,NFB_CB_22,natural,apple,depends on brand,0,1,0,0,0,1,0,0,0,2,3
CB,NFB_CB_02,natural,apple,variations of apple,0,1,0,0,0,0,0,0,0,1,3
CB,NFB_CB_15,natural,apple,they come from different trees,0,1,0,0,0,0,0,0,0,1,5
CB,NFB_CB_16,natural,apple,"because that's how they grow, different species of apples are different colors ",1,1,0,0,0,0,0,0,0,2,12
CB,NFB_CB_18,natural,apple,that color helps them to be identified as apples,0,0,0,0,0,0,0,1,0,1,9
CB,NFB_CB_13,natural,apple,genetics ,0,0,1,0,0,0,0,0,0,1,1
CB,NFB_CB_11,natural,apple,because that's the way they were made,1,0,0,0,0,0,0,0,0,1,7
CB,NFB_CB_10,natural,apple,"idk that's just how it is, because plant science?",0,0,1,0,0,0,0,0,0,1,9
CB,NFB_CB_24,natural,apple,because of the different parts of the fruit,0,0,1,0,0,0,0,0,0,1,8
CB,NFB_CB_08,natural,apple,"they come from different genesis or species or whatever classification, different categories of apples, red delicious, gala, macintosh all different colors ",0,1,1,0,0,0,0,0,0,2,21
CB,NFB_CB_04,natural,apple,because that's the way it's grown,1,0,0,0,0,0,0,0,0,1,6
CB,NFB_CB_26,natural,blueberry,because again that's the color of the plant and particularly the skin of the plant,0,0,1,0,0,0,0,0,0,1,15
CB,NFB_CB_14,natural,blueberry,because it's in the name,0,0,1,0,0,0,0,0,0,1,5
CB,NFB_CB_17,natural,blueberry,God dipped them in blue food coloring (sarcastic),0,0,0,0,0,1,0,0,0,1,8
CB,NFB_CB_12,natural,blueberry,because they're blue berries,0,0,1,0,0,0,0,0,0,1,4
CB,NFB_CB_23,natural,blueberry,"that's how they grew, they grew blue",1,0,0,0,0,0,0,0,0,1,7
CB,NFB_CB_09,natural,blueberry,"has to do with the stage of ripening, and how much sun and rain comes to an area during particularly growing season and those things could certainly influence it",1,1,0,0,0,0,0,0,0,2,29
CB,NFB_CB_07,natural,blueberry,their makeup,0,0,1,0,0,0,0,0,0,1,2
CB,NFB_CB_06,natural,blueberry,the way they grow,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_03,natural,blueberry,"I'm trying to think of a different answer than because god made it that way, it's hard with fruits and vegetables it's just I don't know it's how they are",0,0,0,0,0,1,0,0,0,1,30
CB,NFB_CB_22,natural,blueberry,something about the way they grow,1,0,0,0,0,0,0,0,0,1,6
CB,NFB_CB_02,natural,blueberry,"because they're different chemicals in the blueberry that give it a blue color , don't know if there's another purpose",0,0,0,1,0,0,0,0,0,1,20
CB,NFB_CB_15,natural,blueberry,they were made that way,0,0,0,0,0,1,0,0,0,1,5
CB,NFB_CB_16,natural,blueberry,that's how they grow,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_18,natural,blueberry,the name and also to make them identifiable as the fruit,0,0,0,0,0,0,0,1,0,1,11
CB,NFB_CB_13,natural,blueberry,genetics,0,0,1,0,0,0,0,0,0,1,1
CB,NFB_CB_11,natural,blueberry,that's the way they were made,1,0,0,0,0,0,0,0,0,1,6
CB,NFB_CB_10,natural,blueberry,because plant science,0,0,1,0,0,0,0,0,0,1,3
CB,NFB_CB_24,natural,blueberry,"it's nature, that's just how they are",0,0,1,0,0,0,0,0,0,1,7
CB,NFB_CB_08,natural,blueberry,"it's in the name, contextually makes sense, would be a jerk move to name a red berry a blue berry ",0,0,1,0,0,0,0,0,0,1,20
CB,NFB_CB_04,natural,blueberry,"i just buy the fruit, i dont ask them what color it is",0,0,0,0,0,0,0,0,1,1,13
CB,NFB_CB_26,natural,carrot,"this could get into a whole how plants work, but it's the color of the skin on the plant",0,0,1,0,0,0,0,0,0,1,19
CB,NFB_CB_14,natural,carrot,different colors for differnet parts,0,1,0,0,0,0,0,0,0,1,5
CB,NFB_CB_17,natural,carrot,"photosynthesis, I don't know because that's how God made them",1,0,0,0,0,1,0,0,0,2,10
CB,NFB_CB_12,natural,carrot,that's what nature gave them,0,0,1,0,0,0,0,0,0,1,5
CB,NFB_CB_23,natural,carrot,just how they grew,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_09,natural,carrot,"has to do with chlorophyll and stage of ripening, chloroplasts store the chlorophyll and cause it to have a green color",1,0,0,1,0,0,0,0,0,2,21
CB,NFB_CB_07,natural,carrot,part of their makeup,0,0,1,0,0,0,0,0,0,1,4
CB,NFB_CB_06,natural,carrot,the way they grow,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_03,natural,carrot,that's how they were made,1,0,0,0,0,0,0,0,0,1,5
CB,NFB_CB_22,natural,carrot,the way they grow,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_02,natural,carrot,"not sure, again, their molecules make them be orange in some way",0,0,1,1,0,0,0,0,0,2,12
CB,NFB_CB_15,natural,carrot,"there's science behind it, but they were made that way ",1,0,0,0,0,0,0,0,0,1,10
CB,NFB_CB_16,natural,carrot,that's how they're grown,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_18,natural,carrot,because they're a vegetable and that's a common color of a vegetable,0,0,1,0,0,0,0,0,0,1,12
CB,NFB_CB_13,natural,carrot,genetics,0,0,1,0,0,0,0,0,0,1,1
CB,NFB_CB_11,natural,carrot,so that people eat them,0,0,0,0,1,0,0,0,0,1,5
CB,NFB_CB_10,natural,carrot,because plant science,0,0,1,0,0,0,0,0,0,1,3
CB,NFB_CB_24,natural,carrot,they have special chemicals in the plant that make them these colors,0,0,0,1,0,0,0,0,0,1,12
CB,NFB_CB_08,natural,carrot,"how they grow, pigments in their skin, one of those things that I grew up learning, in so many kids's songs, not citrusy, but orange",1,0,0,1,0,0,0,0,0,2,25
CB,NFB_CB_04,natural,carrot,it grows that way,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_26,natural,corn,because of the color of the leaves on the stalk and also the corn coming out of it,0,0,1,0,0,0,0,0,0,1,18
CB,NFB_CB_14,natural,corn,the way nature made them,0,0,1,0,0,0,0,0,0,1,5
CB,NFB_CB_17,natural,corn,that's how they grew ,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_12,natural,corn,depends on the kind ,0,1,0,0,0,0,0,0,0,1,4
CB,NFB_CB_23,natural,corn,"that's how it came out, different genes and things, and breeding",0,0,1,0,0,0,0,0,0,1,11
CB,NFB_CB_09,natural,corn,"has to do with the stage of growth, climate and weather features, when we talk about corn belt in midwest hot weather I always associated with green, needs a lot of sun, it also needs humidity and rain so serious drought delays coloring and ripening, green color is chloryphyll",1,1,0,1,0,0,0,0,0,3,49
CB,NFB_CB_07,natural,corn,biology,0,0,1,0,0,0,0,0,0,1,1
CB,NFB_CB_06,natural,corn,,0,0,0,0,0,0,0,0,0,0,0
CB,NFB_CB_03,natural,corn,that's how they were made,1,0,0,0,0,0,0,0,0,1,5
CB,NFB_CB_22,natural,corn,way it grows in the ground,1,0,0,0,0,0,0,0,0,1,6
CB,NFB_CB_02,natural,corn,the molecules that form the corn are different? I don't know if there's any evolutionary answer to that,0,0,0,1,0,0,0,0,0,1,18
CB,NFB_CB_15,natural,corn,that shows when they're ripe and not ripe,0,1,0,0,0,0,0,0,0,1,8
CB,NFB_CB_16,natural,corn,that's how they grow,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_18,natural,corn,to make it easy to identify,0,0,0,0,0,0,1,0,0,1,6
CB,NFB_CB_13,natural,corn,genetics,0,0,1,0,0,0,0,0,0,1,1
CB,NFB_CB_11,natural,corn,for advertisement purposes,0,0,0,0,1,0,0,0,0,1,3
CB,NFB_CB_10,natural,corn,because plant science is awesome,0,0,1,0,0,0,0,0,0,1,5
CB,NFB_CB_24,natural,corn,"just how plants, it's like the variation of a plant, it's just natural variation",0,0,1,0,0,0,0,0,0,1,14
CB,NFB_CB_08,natural,corn,"a couple variety of corn, sweet corn, corn used in savory things, I've heard that some corn can be blue or white or green",0,1,0,0,0,0,0,0,0,1,24
CB,NFB_CB_04,natural,corn,that's the way it grows,1,0,0,0,0,0,0,0,0,1,5
CB,NFB_CB_26,natural,fire,fires are these colors because they're the colors that are produced by heat and smoke and flame,0,0,0,1,0,0,0,0,0,1,17
CB,NFB_CB_14,natural,fire,"depends on how hot it is, if it's hotter, more of an orange, but if regular fire, then red, orange is a more vibrant active fire",0,1,0,0,0,0,0,0,0,1,26
CB,NFB_CB_17,natural,fire,because of the chemical reaction which results from burning,1,0,0,0,0,0,0,0,0,1,9
CB,NFB_CB_12,natural,fire,"because they burn, and when they burn they burn in bright colors",1,0,0,0,0,0,0,0,0,1,12
CB,NFB_CB_23,natural,fire,because heat is red,0,0,1,0,0,0,0,0,0,1,4
CB,NFB_CB_09,natural,fire,"has to do with how hot they are and also the material that's being used in the fire, if it's all kindling might be red, if you introduce paper might be a diff color, milk cartons at a campfire might be a different color, has to do with materials and also the brightness of it, how hot it is",0,1,0,1,0,0,0,0,0,2,59
CB,NFB_CB_07,natural,fire,heat is red,0,0,1,0,0,0,0,0,0,1,3
CB,NFB_CB_06,natural,fire,"because of the wood it burns, different types of wood",0,1,0,1,0,0,0,0,0,2,10
CB,NFB_CB_03,natural,fire,"because that's the color things turn when they get hot, something about deprivation of oxygen or too much oxygen I don’t know I can't science very well",1,0,0,0,0,0,0,0,0,1,27
CB,NFB_CB_22,natural,fire,"whatever color of smoke, and smoke makes fires",0,0,0,1,0,0,0,0,0,1,8
CB,NFB_CB_02,natural,fire,"depends on the temperature, maybe the hotter the fire is, higher the temperature, color is more like red",0,1,0,0,0,0,0,0,0,1,18
CB,NFB_CB_15,natural,fire,the things that are burning in it make it the color it is,0,0,0,1,0,0,0,0,0,1,13
CB,NFB_CB_16,natural,fire,that's the color of the wood when it makes fire,0,0,0,1,0,0,0,0,0,1,10
CB,NFB_CB_18,natural,fire,"I think to make it identifiable, and also depending on what you're do with the fire, you can have different colors depending on how big the fire is or how much of a fire there is",0,1,0,0,0,0,1,1,0,3,36
CB,NFB_CB_13,natural,fire,because that's how things burn,1,0,0,0,0,0,0,0,0,1,5
CB,NFB_CB_11,natural,fire,so that people won't go near them,0,0,0,0,0,0,1,0,0,1,7
CB,NFB_CB_10,natural,fire,i really don't know they just are,0,0,1,0,0,0,0,0,1,2,7
CB,NFB_CB_24,natural,fire,because of what you're burning and the temperature that you're burning at,0,1,0,0,0,0,0,0,0,1,12
CB,NFB_CB_08,natural,fire,"brightness and combustability closely associated, it proably has to do with how fire itself is created, one of those things you grow up learning",1,0,0,0,0,0,0,0,0,1,24
CB,NFB_CB_04,natural,fire,"smoke is black, that's how it erupts",0,0,1,0,0,0,0,0,0,1,7
CB,NFB_CB_26,natural,kiwi,that's the color of the fruit that comes off the vine,0,0,1,0,0,0,0,0,0,1,11
CB,NFB_CB_14,natural,kiwi,they're made that way,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_17,natural,kiwi,they are as they are at the behest of the kiwi fairie (sarcastic),0,0,0,0,0,1,0,0,0,1,13
CB,NFB_CB_12,natural,kiwi,they come from the ground,1,0,1,0,0,0,0,0,0,2,5
CB,NFB_CB_23,natural,kiwi,"I don't know that's just the way they came out, you have to ask the creator of the world",0,0,1,0,0,1,0,0,0,2,19
CB,NFB_CB_09,natural,kiwi,"has to do with the stage of growth and the kind of climate and weather situations, and the area, if you tried to grow a kiwi where I'm from [in Maine] it might be kind of dull, whereas if you tried down here [in FL] might be a brighter color, more of tthe green, again it has to do with the setting and climate features that influence it",0,1,0,0,0,0,0,0,0,1,67
CB,NFB_CB_07,natural,kiwi,that's how they grow,1,0,0,0,0,0,0,0,0,1,4
CB,NFB_CB_06,natural,kiwi,the way they were grown,1,0,0,0,0,0,0,0,0,1,5
CB,NFB_CB_03,natural,kiwi,that's the way they were made,1,0,0,0,0,0,0,0,0,1,6
CB,NFB_CB_22,natural,kiwi,how they grow in the ground,1,0,0,0,0,0,0,0,0,1,6
CB,NFB_CB_02,natural,kiwi,"has to do with adaptation, no specific human reason, but maybe with nature, they attract a certain kind of insect with that color? So can pollinate the plant better",0,0,1,0,0,0,0,0,0,1,29
CB,NFB_CB_15,natural,kiwi,they were designed to be that way ,1,0,0,0,0,0,0,0,0,1,7
CB,NFB_CB_16,natural,kiwi,that's what color they grow,1,0,0,0,0,0,0,0,0,1,5
CB,NFB_CB_18,natural,kiwi,to make them identifiable as a fruit,0,0,0,0,0,0,0,1,0,1,7
CB,NFB_CB_13,natural,kiwi,genetics,0,0,1,0,0,0,0,0,0,1,1
CB,NFB_CB_11,natural,kiwi,so that people will buy them,0,0,0,0,1,0,0,0,0,1,6
CB,NFB_CB_10,natural,kiwi,plant science,0,0,1,0,0,0,0,0,0,1,2
CB,NFB_CB_24,natural,kiwi,"I think it's just natural, but the golden ones I think are developed, like the brown kiwis that's the norm but the golden ones are created by man I think, because people don't like fuzzy kiwis maybe I don't know",1,0,1,0,1,0,0,0,0,3,40
CB,NFB_CB_08,natural,kiwi,"honestly guessing, but they have a citrusy taste, and associate citrusy with orange color",0,0,0,0,0,0,0,1,0,1,14
CB,NFB_CB_04,natural,kiwi,it's the way it's grown,1,0,0,0,0,0,0,0,0,1,5
CB,NFB_CB_26,natural,polar bear,"because of their fur and their skin, and the traits that they were born with as a result of their breeding",0,0,1,0,0,0,0,0,0,1,21
CB,NFB_CB_14,natural,polar bear,"just made that way, nature",0,0,1,0,0,0,0,0,0,1,5
CB,NFB_CB_17,natural,polar bear,"color of an animal is camoflauge, so they can blend in with the surroundings",0,0,0,0,0,0,1,0,0,1,14
CB,NFB_CB_12,natural,polar bear,becaue they live in the arctic,0,0,1,0,0,0,0,0,0,1,6
CB,NFB_CB_23,natural,polar bear,"it depends where they're from, I think the white ones are the ones that are in the cold so they can be camoflauged, I'm not sure black and brown but it's probably the same thing based on the environment",0,1,0,0,0,0,1,0,0,2,39
CB,NFB_CB_09,natural,polar bear,"has to do with the kind of climate they're in, dark colors would absorb sunlight and heat more effectively and would need to do that to survive properly or any kind of way, so rather than bright color reflecting back sunlight you want a dark color that's going to absorb what sunlight there is and thus absorb the heat, like on a really hot day you want to wear light  clothingto not absorb the sunlight rather than dark colored clothing that's gonna absorb all the sunlight, same basic principle",1,1,0,0,0,0,0,0,0,2,89
CB,NFB_CB_07,natural,polar bear,genetic makeup,0,0,1,0,0,0,0,0,0,1,2
CB,NFB_CB_06,natural,polar bear,the way that they were born,0,0,1,0,0,0,0,0,0,1,6
CB,NFB_CB_03,natural,polar bear,to blend in with their arctic environment,0,0,0,0,0,0,1,0,0,1,7
CB,NFB_CB_22,natural,polar bear,"IDK, the colors could vary",0,0,0,0,0,0,0,0,1,1,5
CB,NFB_CB_02,natural,polar bear,"because they live in snowy areas, so white would help them camouflage with the snow",0,0,0,0,0,0,1,0,0,1,15
CB,NFB_CB_15,natural,polar bear,"because they were made that way, but also it helps them camouflage",1,0,0,0,0,0,1,0,0,2,12
CB,NFB_CB_16,natural,polar bear,that's what color their fur is,0,0,1,0,0,0,0,0,0,1,6
CB,NFB_CB_18,natural,polar bear,I don't know that's just how they were made,1,0,0,0,0,0,0,0,0,1,9
CB,NFB_CB_13,natural,polar bear,it protects them from the snow and cold where they live,0,1,0,0,0,0,0,0,0,1,11
CB,NFB_CB_11,natural,polar bear,that's the color of their fur,0,0,1,0,0,0,0,0,0,1,6
CB,NFB_CB_10,natural,polar bear,"they're black is because of the way that the light hits the fur, makes them look white, the black fur lets them keep in the heat more",1,0,1,0,0,0,0,0,0,2,27
CB,NFB_CB_24,natural,polar bear,"probably their environment, they want to blend in with their environment I guess",0,0,0,0,0,0,1,0,0,1,13
CB,NFB_CB_08,natural,polar bear,"maybe the white something to do with blending with tundra environemtn, something in gut told me they were also red",0,0,0,0,0,0,1,0,0,1,20
CB,NFB_CB_04,natural,polar bear,"that's the way they were born, not sure",0,0,1,0,0,0,0,0,0,1,8
CB,NFB_CB_26,natural,spinach,because it's the color of the plant,0,0,1,0,0,0,0,0,0,1,7
CB,NFB_CB_14,natural,spinach,"because it's natural, it's a plant",0,0,1,0,0,0,0,0,0,1,6
CB,NFB_CB_17,natural,spinach,"God made it that way, I don't know I'm not a scientist",0,0,0,0,0,1,0,0,0,1,12
CB,NFB_CB_12,natural,spinach,because it's a plant,0,0,1,0,0,0,0,0,0,1,4
CB,NFB_CB_23,natural,spinach,"that's just how it is, it's a vegetable and most are green",0,0,1,0,0,0,0,0,0,1,12
CB,NFB_CB_09,natural,spinach,"has to do withchlorophyll, and the amount of chlorophyll stored in the plant as it grows, like a lot of the other green vegetables, same idea",0,0,0,1,0,0,0,0,0,1,26
CB,NFB_CB_07,natural,spinach,how they grow,1,0,0,0,0,0,0,0,0,1,3
CB,NFB_CB_06,natural,spinach,the color of the leaves,0,0,1,0,0,0,0,0,0,1,5
CB,NFB_CB_03,natural,spinach,because of the chlorophyll I think,0,0,0,1,0,0,0,0,0,1,6
CB,NFB_CB_22,natural,spinach,because they're a vegtable. And many vegetables are green,0,0,1,0,0,0,0,0,0,1,9
CB,NFB_CB_02,natural,spinach,because of chlorophyll,0,0,0,1,0,0,0,0,0,1,3
CB,NFB_CB_15,natural,spinach,"they are a type of plant that has a particular process, like photosynthesis, that causes them to be green",1,0,0,0,0,0,0,0,0,1,19
CB,NFB_CB_16,natural,spinach,that's what color the leaves are ,0,0,1,0,0,0,0,0,0,1,6
CB,NFB_CB_18,natural,spinach,"so it can be identified as such, as spinach",0,0,0,0,0,0,0,1,0,1,9
CB,NFB_CB_13,natural,spinach,genetics,0,0,1,0,0,0,0,0,0,1,1
CB,NFB_CB_11,natural,spinach,"that's the way that they were meant to be, the way they were planted ",1,0,1,0,0,0,0,0,0,2,14
CB,NFB_CB_10,natural,spinach,chlorophyll,0,0,0,1,0,0,0,0,0,1,1
CB,NFB_CB_24,natural,spinach,because they're plants and they have chlorophyll,0,0,1,1,0,0,0,0,0,2,7
